,English,Chinese,SimplifiedChinese,Android 沒有用到的 (Y)
LOGIN_ERROR_INVALID_EMAIL_PW,Wrong input,輸入資料錯誤,输入数据有误,Y
LOGIN_ERROR_INVALID_SESSION,Your session is expired. Please login again.,連線階段已過期，請重新登入,连线已过期，请重新登录,Y
LOGIN_ERROR_FACEBOOK,Fail to login Facebook. Please check you Facebook privacy setting.,未能從 Facebook 撮取資料，請檢查 Facebook 設定,读取 Facebook 资料异常，请检查 Facebook 设置,
LOGIN_METHOD_OTHER,Other login,其他方式登入,其他方式登录,
LOGIN_ERROR_WECHAT,Fail to login WeChat. Please check you WeChat setting,未能從 WeChat 撮取資料，請檢查 WeChat 設定,读取微信资料异常，请检查微信设置,
LOGIN_ERROR_WECHAT_INSTALL,Could not find WeChat in your device. Please download and login to WeChat.,尚未安裝 WeChat，請先下載及登入 WeChat,找不到微信程序，请先下载及登录微信,
LOGIN_ERROR_WRONG_EMAIL_PW,E-mail or Password Incorrect,郵箱或密碼錯誤,邮箱或密码错误,
LOGIN_ERROR_WRONG_PHONE_PW,Phone Number or Password Incorrect,電話號碼或密碼錯誤,手机号码或密码错误,
LOGIN_BY_PHONE_NUMBER,Login by mobile #,電話號碼登錄,手机号码登录,
LOGIN_BY_EMAIL,Login by E-mail,電郵登錄,邮箱登录,
INIT_USER_PROFILE,Complete owner's profile,設定主人檔案,设置主人档案,Y
INIT_PET_PROFILE,Complete pet's profile,設定寵物檔案,设置宠物档案,Y
INIT_PET_PROFILE_CATEGORY,Pet type,寵物類別,宠物种类,Y
FORGET_PW_TITLE,Find your account,尋找你的帳戶,找回您的帐号,
FORGET_PW_TITLE_2,Please enter your phone #,請輸入你的電話以搜尋帳戶,请输入您的手机号码以找回帐号,
FORGET_PW_SUCCESS,Success,成功,成功,Y
FORGET_PW_ERROR,Phone number not found,該電話號碼還未註冊過，點擊,该手机号码未注册过，点击,Y
REGISTER,Register,註冊,注册,Y
REGISTER_EMAIL,Email,電郵,邮箱,Y
REGISTER_CONFIRM_PW,Confirm Password,確認密碼,确认密码,
REGISTER_TNC,"By clicking \""Register\"", you agree to our terms, data processing policy and Cookie policy. You may receive our SMS notifications, which you may choose to opt out from it any time.",點擊「註冊」即表示同意我們的使用條款及數據使用政策。你可能會收到我們的電郵通知，而且可以隨時選擇停止接收。,点击「注册」代表您同意我们的使用条款和数据使用政策。您或会收到我们的电子邮件，而且可以随时选择停止接收。,
REGISTER_SUCCESS,Registration completed,註冊完成,注册完成,
REGISTER_SUCCESS_WELCOME_1,Welcome to OwOh world!,歡迎來到OwOh寵物世界！,欢迎来到OwOh宠物世界！,
LOGIN_SUCCESS_WELCOME_1,Welcome back to,歡迎回到OwOh,欢迎回到OwOh,
LOGIN_SUCCESS_WELCOME_2,Owoh world!,寵物世界！,宠物世界！,
REGISTER_SUCCESS_BUTTON,Start exploring,開始使用,开始使用,
REGISTER_PHONE,Phone no.,電話號碼,手机号,
REGISTER_PHONE_AREA_CODE,Area Code,區號,区号,Y
REGISTER_PHONE_AREA_CODE_SELECT,Please select the area code:,請選擇區號:,请选择区号:,Y
REGISTER_ERROR_EMAIL_EXIST,Email registered,電郵已註冊,邮箱已用,
REGISTER_ERROR_PHONE_EXIST,Phone registered,電話已註冊,手机号已用,
REGISTER_ERROR_AGREE_TNC,"You must agree to our terms, data processing policy and Cookie policy",閣下須同意我們的使用條款及數據使用政策。,您要同意我们的使用条款和数据使用政策。,
REGISTER_ERROR_EMAIL_FORMAT,Wrong email format,請輸入正確電郵地址,邮箱有误,
REGISTER_ERROR_WRONG_PHONE,Please enter correct phone number,請檢查輸入的電話號碼,手机号有误,
REGISTER_ERROR_EMPTY_FIELD,Please fill in all the required fields,所有空格必須填寫,须填所有空格,
VERIFICATION_TITLE,Verification,身份認證,身份认证,
VERIFICATION_SUBTITLE,Verification code sent to your phone,驗證碼已發送到你的手機,我们已发送验证码到您的手机,
VERIFICATION_RESEND_COUNT,second(s) to resend,秒後重發,秒后重发,
VERIFICATION_RESEND,Resend,重發,重发,
VERIFICATION_CODE_REQUEST,Get verification code,獲取驗證碼,获取验证码,
VERIFICATION_CODE_ENTER,Enter your verification code,請輸入短訊驗證碼,请输入短信验证码,
TAB_BAR_ITEM_1,Community,社區,社区,
TAB_BAR_ITEM_2,eShop,商城,商城,
TAB_BAR_ITEM_3,Wallet,錢包,钱包,
TAB_BAR_ITEM_4,Chat,聊天,聊天,
TAB_BAR_ITEM_5,My Profile,我的檔案,我的档案,
TAB_BAR_ITEM_EXTRA_1,Sticker widget,貼圖製作,贴图生成,
TAB_BAR_ITEM_EXTRA_2,O! Video,短片,小视频,
TAB_BAR_ITEM_EXTRA_3,Magic Camera,寵物相機,宠物相机,
SOCIAL_LIKE,Like ,讚好,点赞,
SOCIAL_SHARE,Share,分享,转发,
SOCIAL_COMMENT,Comment,留言,留言,
SOCIAL_PHOTO,Photo,相片,照片,
SOCIAL_LIVE,Status,動態,动态,
SOCIAL_GROUP,Group,圈子,圈子,
SOCIAL_REMINDER,Reminder,提醒,提醒,
SOCIAL_OFFICIAL,Check-in,通知,通知,
SOCIAL_MORE,More,更多,更多,
SOCIAL_SHOW_MORE_N_COMMENTS,Show all %d comments,顯示全部 %d 則留言,查看全部 %d 条留言,
SOCIAL_DELETE_POST,Delete Post,刪除帖文,删除帖子,
SOCIAL_REPLY_TITLE,Reply,回覆,回复,
SOCIAL_REPLY_COMMENT,Comment,留言...,留言...,
SOCIAL_REPLY_COMMENT_IN_COMMENT,Reply on comment,回覆留言,回复留言,
SOCIAL_CREATE_POST_TITLE,Create Post,文章發佈,文章发布,
SOCIAL_CREATE_POST,Publish,發佈,发布,
SOCIAL_CREATE_CAMERA,Camera,相機,相机,
SOCIAL_CREATE_GALLERY,Photo,相簿,相册,
SOCIAL_DELETE_REPORT_POST,Report,舉報,举报,
SOCIAL_COMMENT_PLACEHOLDER,What's on your mind?,你在想什麼？,您在想什么？,
SOCIAL_LIKED_USER_AND_OTHER,Liked by %@ and %d others,讚好的人 %@ 與另外 %d 人,点赞的人 %@ 和其他 %d 人,
SOCIAL_LIKED_USER,Liked by %@ ,讚好的人 %@,点赞的人 %@,
SOCIAL_ACTION_LIKE,Like,讚好,点赞,
SOCIAL_ACTION_COMMENT,Reply,回覆,回复,
SOCIAL_ACTION_SHARE,Share,分享,转发,
SOCIAL_DELETE_COMMENT,Delete comment,刪除留言,删除留言,
SOCIAL_HIDE_POST,Hide this post,隱藏此帖,隐藏此贴,
SOCIAL_TAB_ITEM_1,All,所有帖文,所有帖子,Y
SOCIAL_TAB_ITEM_2,Followed,追蹤帖文,关注帖子,Y
SOCIAL_TAB_ITEM_3,Official,官方帖文,官方帖子,Y
SOCIAL_TAB_ITEM_4,Featured,明星帖文,明星帖子,Y
SOCIAL_TAB_ITEM_5,Top Stars,金榜題名,金榜题名,Y
SOCIAL_TAB_ITEM_6,O! Video,短片,小视频,Y
SOCIAL_FIRST_LIKE,No likes yet,成為第一個讚好的人,尚无点赞,
SOCIAL_LIKED_USERS,Liked by ,讚好的人,点赞的人,
SOCIAL_CREATE_POST_ERROR_NO_ATTACHMENT,Please attach at least one photo or video,請加入最少一張圖片或影片,请添加最少一张图片或视频,
HOME_MY_MESSAGE,My Notification,我的消息,我的消息,
USER_PROFILE_FANS,Fans,粉絲,粉丝,
USER_PROFILE_PHOTOS,Photo,相片,照片,
USER_PROFILE_TITLE,Personal Profile,個人檔案,个人档案,
USER_PROFILE_TAB_1,About,關於,关于,
USER_PROFILE_TAB_2,Photo,相片,照片,
USER_PROFILE_TAB_3,Post,留言,留言,
USER_PROFILE_BIRTHDAY,Birthday,出生日期,出生日期,
USER_PROFILE_SEX,Gender,性別,性别︰,
USER_PROFILE_AGE,Age,年齡,年龄,
USER_PROFILE_BRON_PLACE,Birth Place,出生地點,出生地点︰,
USER_PROFILE_FOLLOW,Follow,追蹤,关注,
USER_PROFILE_FOLLOW_PET,Follow Pet,追蹤寵物,关注宠物,
USER_PROFILE_FOLLOWED,Followed,已追蹤,关注了,
USER_PROFILE_FOLLOWING_PET,Following pet,寵物追蹤,宠物关注,
USER_PROFILE_FOLLOWING_USER,Follow,追蹤,关注,
USER_PROFILE_PRESS_ENTER,Enter a nickname,點擊輸入暱稱,点击输入昵称,
USER_PROFILE_EDIT_ABOUT,Edit about,編輯個性簽名,编辑个性签名,
USER_PROFILE_EDIT_INFO,Edit info,編輯個人資料,编辑个人资料,
USER_PROFILE_IMAGE_1,Related images,相關照片共,相关照片共,
USER_PROFILE_IMAGE_2,Profile pictures,張,张,
PET_PROFILE_TYPE,Pet's Type,寵物類型,宠物类型,Y
PET_PROFILE_TITLE,Pet's Profile,寵物檔案,宠物档案,
PET_PROFILE_EIDT,Edit Profile,編輯檔案,修改档案,
PET_PROFILE_AGE,Aged,歲,岁,
PET_PROFILE_WEIGHT,Weight,體重︰,体重︰,
PET_PROFILE_CATEGORY,Type,種類,种类,
PET_PROFILE_VARIETY,Breed,品種︰,品种︰,
PET_PROFILE_BLANK,Blank profile,主人忘填喔,主人忘填咯,
PET_PROFILE_TYPE_BY_IMAGE,Your pet is %@，am I correct？,你的寵物是%@，是否正確？,你的宠物是%@，是否正确？,
PET_PROFILE_TYPE_BY_IMAGE1,Your pet is ,你的寵物是,你的宠物是,
PET_PROFILE_TYPE_BY_IMAGE2,",am I correct?",，是否正確？,，是否正确？,
PET_PROFILE_EDIT_ERROR,"Name, category, mood cannot be empty","名字,類別,心情不能為空","名字,类别,心情不能为空",
PET_PROFILE_EDIT_DISINSECTION,Last Deworm Time ,上次杜蟲時間︰,上次除虫时间︰,
PET_PROFILE_EDIT_VACCINE,Last Injection Time,上次疫苗时间︰,上次疫苗时间︰,
PET_PROFILE_EDIT_BIRTH_CONTROL,Birth Control : ,絕育︰,节育︰,
PET_PROFILE_EDIT_SET_TYPE,Choose Breed,點擊設置種類,点击设置种类,
PET_PROFILE_EDIT_SET_VARIETY,Choose Breed,點擊設置種類,点击设置种类,
USER_PROFILE_EDIT_MASTER_NAME,Owner's Name,主人名稱,主人名称,
USER_PROFILE_EDIT_PHOTO,Personal Photo,個人相片,个人照片,
USER_PROFILE_EDIT_TITLE,Edit Personal Profile,編輯個人檔案,修改个人档案,
USER_PROFILE_EDIT_BANNER,Cover Photo,封面照片,封面照片,
USER_PROFILE_EDIT_MODE,Personal Status,個人動態,个人动态,
USER_PROFILE_EDIT_INFO_TITLE,Personal Details,個人資料,个人资料,
USER_PROFILE_EDIT_NAME,Name,名字,名字,
USER_PROFILE_EDIT_SEX,Gender,性別,性别,
USER_PROFILE_EDIT_BIRTH,Birthday,出生日期,出生日期,
USER_PROFILE_EDIT_ABOUT_ME,About Me,關於我,关于我,
USER_PROFILE_EDIT_STATUS,Personal Status,個人狀態,个人状态,
USER_PROFILE_EDIT_NEW_PW,New Password,新密碼,新密码,
USER_PROFILE_EDIT_OLD_PW,Old Password,舊密碼,旧密码,
USER_PROFILE_EDIT_CONFIRM_NEW_PW,Confirm New Password,確認新密碼,确认新密码,
USER_PROFILE_SET_REGION,Set Region,點擊設置地區,点击设置地区,
PET_PROFILE_EDIT,Edit Pet's Info,編輯寵物資料,编辑宠物资料,
PET_PROFILE_EDIT_FEELING,Edit Pet's Mood,點擊输入竉物心情,点击输入宠物心情,
PET_PROFILE_EDIT_NAME,Pet's Name,寵物名稱,宠物名称,
PET_PROFILE_EDIT_PHOTO,Pet Photo,寵物相片,宠物照片,
PET_PROFILE_EDIT_TITLE,Edit Pet's Profile,編輯寵物檔案,修改宠物档案,
PET_PROFILE_EDIT_MODE,Pet's Feeling,寵物心情,宠物心情,
PET_PROFILE_EDIT_INFO_TITLE,Pet's Identity Card,寵物身份證,宠物身份证,
PET_PROFILE_CREATE_TITLE,Create Pet's Profile,開設寵物檔案,开设宠物档案,
PET_PROFILE_DELETE_CONFIRM,Confirm to Delete Profile?,確定刪除寵物？,您确定要删除宠物？,
PET_PROFILE_SAVE,Save Profile,保存資料,保存资料,
PET_PROFILE_CHINA,China,國内,国内,
PET_PROFILE_INTERNATIONAL,International,國際,国外,
PET_PROFILE_HISTORY,History,成長記錄,成长记录,
SETTING_CHOOSE_LANGUAGE,Choose language,選擇語言,选择语言,
SETTING_NOTIFICATION,Notification,通知,通知,
SETTING_CHANGE_PW,Change password,更改密碼,修改密码,
SETTING_CHANGE_PHONE,Change phone,更改電話,更改电话,
SETTING_TNC,Terms and Conditions,條款及細則,条款和细则,
setting_check_update_unchange,Already the latest version!,已经是最新的版本啦！,已经是最新的版本啦！,
setting_check_update_fail,"Check for update failed, please try again",檢查更新失敗，請重試,检查更新失败，请重试,
NOTICE_DELETE_ALL,Mark all notifications as read,已讀所有通知,已读所有提醒,
CAMERA_SOUND1,Meow,貓叫,猫叫,
CAMERA_SOUND2,OwOh,嗷嗚,嗷呜,
CAMERA_SOUND3,Bark,狗叫,狗叫,
CAMERA_SOUND4,Bark,狗叫,狗叫,
CAMERA_COMMENT,Comment,留言,留言,
CAMERA_FILTER,Filter,濾鏡,滤镜,
CAMERA_STICKER,Sticker,貼圖,贴图,
CAMERA_CREATE_POST,Save and publish,儲存並發佈,存储和发布,
CAMERA_STICKER_FINISH,Finish,完成,完成,
CAMERA_SAVE,Save and publish,儲存,保存,
CAMERA_TEXT,Text,文字,文字,
CAMERA_TEXT_EDITOR_TAB1,Colors,顏色,颜色,
CAMERA_TEXT_EDITOR_TAB2,Fonts,字型,字型,
CAMERA_TEXT_EDITOR_TAB3,Border,邊框,边框,
CAMERA_TEXT_EDITOR_BORDER_WIDTH,Border width,粗幼度,粗细度,
CAMERA_TEXT_EDITOR_TITLE,Text Editor,文字編輯,文字编辑,
TUTORIAL_1,tutorial_01_en,tutorial_01_hant,tutorial_01_hans,Y
TUTORIAL_2,tutorial_02_en,tutorial_02_hant,tutorial_02_hans,Y
TUTORIAL_3,tutorial_03_en,tutorial_03_hant,tutorial_03_hans,Y
TUTORIAL_4,tutorial_04_en,tutorial_04_hant,tutorial_04_hans,Y
WHATSTICKER_PROJECT_TITLE,My Stickers,我的貼圖集,我的贴图集,
WHATSTICKER_CREATE_TITLE,Add Sticker Package,新增貼圖包,新增贴图包,
WHATSTICKER_TITLE,My Stickers,我的貼圖集,我的贴图集,
WHATSTICKER_NAME,Package Name,貼圖包名稱,贴图包名称,
WHATSTICKER_AUTHOR,Author,作者,作者,
WHATSTICKER_UPLOAD_THUMNAIL,Upload Package Cover Image,上載封面圖,上传封面图,
WHATSTICKER_ERROR_MISSING_INFO,Please enter all information,請填寫所有資料,请填写所有资料,
WHATSTICKER_MASKING_TITLE,Create Stickers,製作貼圖,生成贴图,
WHATSTICKER_MASKING_TAB_1,Crop,剪裁,剪裁,
WHATSTICKER_MASKING_TAB_2,Frame,邊框,边框,
WHATSTICKER_MASKING_TAB_3,Eraser,檫膠,擦除,
WHATSTICKER_MASKING_TAB_4,Undo,復原,复原,
WHATSTICKER_MASKING_BORDER_WIDTH,Thickness,粗幼度,粗细度,
WHATSTICKER_MASKING_BORDER_COLOR,Colour,顏色,颜色,
WHATSTICKER_MASKING_ERASER_WIDTH,Thickness,粗幼度,粗细度,
WHATSTICKER_COPY_LINK,Copy link,複製連結,复制链接,
WHATSTICKER_SHARE_TO_WALL,Share as an Owoh post,分享至 Owoh 帖文,转发到 OwOh 帖子,
WHATSTICKER_BACK_TO_PACKAGE,Back to my stickers,返回我的貼圖集,返回我的贴图集,
WHATSTICKER_ERROR_SIZE,File size exceeded. Please upload again,圖片檔案過大，請重新上載,图像文件过大，请重新上传,
WHATSTICKER_ALREADY_COPY,Link copied,已複製連結,已复制链接,
WHATSTICKER_SHARE_MESSAGE,Download link\n,下載連結\n,下载链接\n,
WHATSTICKER_DELETE_STICKER_PACK,Delete Stickers,刪除貼圖包,刪除贴图包,
WHATSTICKER_DELETE_STICKER,Delete Stickers,刪除貼圖,刪除贴图,
WHATSTICKER_CLEAR_CACHE,Update Cache,更新,刷新,
WHATSTICKER_APPROVAL,Publish,公開上架,公开上架,
WHATSTICKER_CLEAR_CACHE_DESC,"Please wait 5-minutes for an updated version of your sticker pack after clicking \""Refresh\""",按下「更新」，五分鐘內會自動更新貼圖包,"点击\""刷新\""，五分钟内自动刷新贴图包",
WHATSTICKER_APPROVAL_DESC,Submit your sticker pack for approval,通過審批後，即可公開分享你的貼圖,通过审批后，可公开分享你的贴图,
WHATSTICKER_SHARE_MIN_3,Share 3 stickers or more,最少分享 3 張貼圖,最少分享 3 张贴图,
WHATSTICKER_REMIND_MESSAGE_1,Please validate all the information entered as there will be no undo,貼圖包設定不能更改，請確保資料正確,贴图包设置添加后将不能修改，请确保数据正确,
WHATSTICKER_DELETE_MIN_3,3 stickers minimum,最少 3 張貼圖,最少 3 张贴图,
WHATSTICKER_CREATE_PACK_REMIND,"By clicking \""Create\"", no further amendment is allowed. Continue?",按下「新增」後，封面圖及貼圖包名稱將不能更改，是否繼續？,"点击\""添加\""后，贴图包设置将不能修改，继续?",
TUTORIAL_OVERLAY_1,Share our happiness every day,每天都有新動態\n大家一起分享喜悅,每天也有新动态\n大家一起分享喜悦,
TUTORIAL_OVERLAY_2,Our Eshop is now online.,我們新增商城啦\n盡情買吧,我们新增商城啦\n尽情买吧,
TUTORIAL_OVERLAY_3,You can now chat with your friends here,現在可以和朋友\n在這裡聊天啦,现在可以跟朋友\n在这聊天啦,
TUTORIAL_OVERLAY_4,Check out profiles for both yourself and your pets,按此查看和編輯\n自己或寵物的資料,点击这里查看和修改\n自己或宠物的信息,
TUTORIAL_OVERLAY_5,Create your own stickers,製作獨有貼圖,制作专属贴图,
TUTORIAL_OVERLAY_6,Take a snap and share it,快拍並分享文章,拍照并分享文章,
TUTORIAL_OVERLAY_7,Press Publish to\nshare your moment,要分享生活點滴\n請按發佈貼文,要分享生活点滴\n请按发布贴子,
TUTORIAL_OVERLAY_8,Create your own O! Video,製作獨有短片,制作专属小视频,
TUTORIAL_CREATE_POST_OVERLAY,Post as an owner or a pet,主人或寵物身分\n均可發佈帖文,发布帖子的用户\n可以是人或宠物,
TUTORIAL_CREATE_PET_OVERLAY,Create a profile for your pets,新增寵物專屬檔案,添加宠物专属档案,
TUTORIAL_REMIND_PET_PROFILE,Pet profile not yet set up. \nCreate a pet now?,尚未設定寵物檔案，\n立即新增寵物？,当前还没设置宠物档案\n是否马上添加？,
TUTORIAL_OVERLAY_9,Click on the avatar to follow user,按個人資料相片追蹤用戶,点击想要关注用户的头像,
TUTORIAL_OVERLAY_10,Click Follow to checkout user post,按追蹤便可得知用戶動態了,点击关注就能成功关注该用户啦,
VERSION_CHECK_FORCE_TITLE,Update available,新版本可供下載,发现新版本,
VERSION_CHECK_FORCE_MSG,"To keep using Owoh, please download the latest version",版本太舊，請下載最新版本,版本太低，请下载最新版本,
VERSION_CHECK_FORCE_YES,Update now,現在更新,现在更新,
VERSION_CHECK_FORCE_NO,Quit Owoh,離開 Owoh,退出 OwOh,
VERSION_CHECK_SOFT_TITLE,New version available,發現新版本,发现新版本,
VERSION_CHECK_SOFT_MSG,Owoh recommends you to update,建議更新至最新版本,建议您更新到最新版本,
VERSION_CHECK_SOFT_YES,Update now,現在更新,现在更新,
VERSION_CHECK_SOFT_NO,Later,知道了,我知道了,
COPY_ITEM,Copy,複製,复制,
SEARCH_ITEM,Search,搜尋...,搜索,
FRIEND_ITEM,Friends,好友,好友,
SEARCH_FRIEND_ITEM,Search Friend,尋找好友,搜索好友,
TIME_NOW,Just now,剛剛,刚刚,
TIME_MINUTE,minute(s) ago,分鐘前,分钟前,
TIME_HOUR,hour(s) ago,小時前,小时前,
TIME_YESTERDAY,Yesterday,昨天,昨天,
TIME_TODAY,Today,今日,今日,
NEW_MESSAGE_ITEM,new message,你有新訊息,您有新消息,
OWOHHELPER_ITEM,OWOH Helper,OWOH 小幫手,OwOh 小帮手,
DELETE_ITEM,Delete,刪除,删除,
FORWARD_ITEM,Forward,站內轉發,站内转发,
CANCEL_ITEM,Cancel,取消,取消,
TRANSMIT_ITEM,Forward,轉發,转发,
MULTI_ITEM,Select...,多選,多选,
OWOHCHAT_GROUP_MANAGER_INFO,Group Info,群組資訊,群组信息,
OWOHCHAT_GROUP_MEMBER_ADD_TITLE,Add Member,新增群成員,新增群成员,
OWOHCHAT_GROUP_MEMBER_ADD_SUREADD,Confirm,確認,确认,
OWOHCHAT_GROUP_MEMBER_DEL_TITLE,Delete Member,刪除群成員,删除群成员,
OWOHCHAT_GROUP_MEMBER_ADD_SUREDEL,Delete,刪除,删除,
OWOHCHAT_GROUP_CHAT_TITLE,Group Title,群組名稱,群组名称,
OWOHCHAT_GROUP_EDIT,Edit,編輯,编辑,
OWOHCHAT_GROUP_DONE,Done,完成,完成,
MORE_IMAGE_ITEM,Image,圖片,图片,
MORE_VIDEO_ITEM,Video,影片,视频,
MORE_CAMERA_ITEM,Camera,相機,相机,
CHAT_EMOJI,Emoji,表情訊息,表情消息,
CHAT_IMAGE,Image,圖片訊息,图片消息,
CHAT_VIDEO,Video,視頻訊息,视频消息,
CHAT_SOUND,Sound,語音訊息,语音消息,
HOLDTOTALK,Hold to record,按住錄音,按住说话,
RELEASETOSEND,Release to send,鬆開傳送,松开发送,
RELEASETOCANCEL,Release to cancel,鬆開手指取消傳送,松开手指取消发送,
SLIDEUPTOCANCEL,Slide up to cancel,手指向上滑取消傳送,手指上划取消发送,
MESSAGETOOSHORT,Message too short,錄音時間太短,说话时间太短,
CHAT_TOP_ITEM,Pin,置頂,置顶,
CHAT_CANCELTOP_ITEM,Unpin,取消\n置頂,取消\n置顶,
FORWARD_TO_ITEM,forward to:,轉發給︰,转发给︰,
CHAT_MESSAGE_EMPTY,message can no be empty,消息不能為空,消息不能为空,
MORE_VIDEO_TOO_SHORT,The video must be at least 3 seconds,視頻時長不可少於 3 秒,视频时长不可小于 3 秒,
SEARCH_RESULT_COUNT,results,個結果,个结果,
SURE_ITEM,OK,確定,确定,
CHAT_UNKNOWN,Unknown,未知消息,未知消息,
SEARCH_RESULT_ITEM,Search result,搜尋結果,搜索结果,
VIDEO_SELECTED_MUSIC,Select an audio,選擇聲音檔,选择音频,
VIDEO_REPLAY_BACK,"O! Video will not be saved on clicking back, continue?",按返回後短片將不會儲存，確定返回？,退出后将不会保存，是否退出？,
VIDEO_SURE_TITLE,Yes,確定,确定,
VIDEO_CANCEL_TITLE,Cancel,取消,取消,
VIDEO_DELETE_TITLE,Confirm to delete the previous O! video?,確認刪除上一段短片？,确定删除上一段视频？,
VIDEO_FILTER_TITLE,Filter,濾鏡,滤镜,
VIDEO_COLLECTION_TITLE,Bookmark,收藏,收藏,
VIDEO_MUSIC_TITLE,Music,音樂,音乐,
VIDEO_SPLIT_TITLE,Split,分鏡,分镜,
VIDEO_TOOSHORT_TITLE,O! Video too short. Please record again,影片太短，重拍吧,"视频太短了,再拍一段吧",
VIDEO_RECORD_SHOT,O! Video too short. Please record again,影片時間過短，重新再影多次啦,"视频太短啦,重新再拍一下",
VIDEO_TAP_RECORD,Click to record,按一下拍攝,单击拍摄,
VIDEO_LONG_RECORD,Hold to record,長按拍攝,长按拍摄,
VIDEO_STICKER_TITLE,Sticker,貼圖,贴图,
VIDEO_SAVE_TITLE,Save,儲存,保存,
VIDEO_UNDO_TITLE,Cancel,取消,撤销,
VIDEO_SOUND_TITLE,Sound,聲音,声音,
VIDEO_ORIGINAL_SOUND_TITLE,Original,原聲,原声,
VIDEO_EFFECT_TIP_TITLE,Choose your point on timeline and hold your press to start adding an effect,選取時間點後，長按開始加入效果,"选择位置后,长按开始加入效果",
VIDEO_MERGIN_TITLE,Generating...,合成中...,正在合成...,
VIDEO_ORIGINAL_EFFECT,Original,原圖,原图,
VIDEO_CARTOON_EFFECT,Cartoon,卡通,卡通,
VIDEO_DIZZY_EFFECT,Dizzy,眩暈,眩晕,
VIDEO_EDGE_EFFECT,Edge,邊緣,边缘,
VIDEO_RGB_EFFECT,RGB,RGB,RGB,
VIDEO_GRAYSCALE_EFFECT,Grayscale,灰度,灰度,
VIDEO_UPLOAD_TITLE,Uploading...,上傳中...,上传中...,
VIDEO_UPLOAD_SUCCESS,Upload success,上傳成功,上传成功,
VIDEO_UPLOAD_FAILD,Failed to Upload. Plesase check your connection,上傳失敗，請檢查網絡,"上传失败,请检查网络",
VIDEO_NEXT_TITLE,Camera_button_sextStep_en,Camera_button_sextStep,Camera_button_sextStep,
VIDEO_MIAOW_TITLE,Camera_realTime_hornCat_left_en,Camera_realTime_hornCat_left_hk,Camera_realTime_hornCat_left,
