acquisition_of_precisionn_matching	More precise \n matching	獲取精準\n匹配	获取精准\n匹配
chat_creat_con	Personal Chat	新建聊天	新建聊天
chat_match	Match	匹配	匹配
chat_msg_audio	Audio notice	[語音消息]	[语音消息]
chat_msg_face	Emoji notice	[表情消息]	[表情消息]
chat_msg_image	Image notice	[圖片消息]	[图片消息]
chat_msg_unknown	Unknown notice	[未知消息類型]	[未知消息类型]
chat_msg_video	Video notice	[視頻消息]	[视频消息]
chat_permission1	You are not authorized	您未授權	您未授权
chat_permission2	Please open this permission in the permission management category	請在權限管理中開啓	权限, 请在权限管理中开启此权限。
chat_reply	Quote	引用	引用
chat_top_item	Pin	置頂聊天	置顶聊天
check_org	View Original Image	查看原圖	查看原图
check_premission_location	Please turn on location service	請開啟位置服務	请开启位置服务
choose_the_sex_of_the_matched_pet	Please select pet gender	請選擇我的寵物性別	请选择我的宠物性别
city_event	City Event	同城活動	同城活动
city_event_create	Create Event	發起活動	发起活动
city_event_details	Details of the events	活動詳情	活动详情
city_event_next	Next	下一步	下一步
city_event_not_exist_state	Event does not exist	當前活動不存在	当前活动不存在
city_event_popup_create_event	Click here to publish events	點擊這裏可以發佈活動哦	点击这里可以发布活动哦
city_event_rel_event	Related events	相關活動	相关活动
clear_cache_tip	Are you sure to clear the cache?	是否確定清除緩存？	是否确定清除缓存？
click_avatar_to_see_the_details	Click on the avatar to see the details	點擊頭像查看詳情	点击头像查看详情
click_for_pet_type	Select pet type	點擊選擇種類	点击选择宠物种类
comment_fail	Comment Fail	評論失敗	评论失败
comment_on_fri	Comment on friends	給朋友留言	给朋友留言
comment_success	Comment Success	評論成功	评论成功
commit	Commit	提交	提交
commit_fail	Commit failed	提交失敗	提交失败
commit_success	Commit success	提交成功	提交成功
common_birthday_title	Birthday：	生日：	生日：
common_cancel	Cancel	取消	取消
common_create	Create	新增	新增
common_fail	Fail	失敗	失败
common_female	Female	大美女	大美女
common_female_small	Girl	小美女	小美女
common_finish	Done	完成	完成
common_ignore	Ignore	忽略	忽略
common_location_permission	Turn on device GPS	請開啟位置信息	请开启位置信息
common_log_out	Logout	登出	退出
common_male	Male	大帥哥	大帅哥
common_male_small	Boy	小帥哥	小帅哥
common_next	Next	下一步	下一步
common_no	No	否	否
common_ok	OK	確定	确定
common_search	Search	搜尋	搜索
common_setting	Settings	設定	设置
common_success	Success	成功	成功
common_today	Today	今日	今天
common_yes	Yes	是	是
common_yesterday	Yesterday	昨日	昨天
compress_failed	Failed to zip	壓縮失敗	压缩失败
config_email	Config Email	確認電郵	确认邮箱
confirm_chat	Confirm Chat	確認聊天	确认聊天
content	Content	內容	内容
content_hint	Type something	請輸入內容	请输入内容
content_limit	The text you enter must be between 0 and 500.	您輸入的文本長度必須在0~500之間	您输入的文本长度必须在0~500之间
content_unchanged	Content unchanged	內容未改變	内容未改变
copy_email	Email copied	已複制郵件地址：	已复制邮件地址：
copy_item	Copy	複製	复制
copy_link	Link copied	已複制網頁鏈接：	已复制网页链接：
copy_phone	Phone number copied	已複製手機號碼：	已复制手机号码：
couple_information	Matching Info：	求偶信息：	求偶信息：
cover_error1	Must upload cover	必須上傳封面	必须上传封面
creat_group_tip1	You have joined the group, we have	你創建了群聊，群聊參與人還有：	你创建了群聊，群聊参与人还有：
creat_group_tip2	People who joined the group:	群聊參與人還有：	群聊参与人还有：
create_event	Create Activity	建立活動	建立活动
create_new_group_chat_for_this_group	Create new chat for group	為本活動新建群聊	为本活动新建群聊
create_new_hash_tag	Create your own topic	創建新話題:	创建新话题:
create_post	Create Post	發佈日誌	发布日志
current_city_	Current city：	當前城市：	当前城市：
date_format_yyyymmdd	yyyy-MM-dd	yyyy年MM月dd日	yyyy年MM月dd日
date_format_yyyymmddhhmm	yyyy-MM-dd HH:mm	yyyy年MM月dd日 HH:mm	yyyy年MM月dd日 HH:mm
date_is_more_than_today	Please choose a date less than today	請選擇不能大於今天的日期！	请选择不能大于今天的日期
day_before	d	天前	天前
day_short	D	日	日
def	Default	預設	预设
del_comment	Report this comment?	確定刪除評論？	您确定要删除这条评论吗？
del_comment_failed	Failed to delete the comment	評論刪除失敗	评论删除失败
del_failed	Failed to delete	刪除失敗	删除失败
del_for_me	Delete for me	為我刪除	为我删除
del_msg	Delete message?	刪除訊息嗎？	删除消息吗？
del_post	Delete this post?	確定刪除貼文？	您确定要删除这条贴子吗
del_post_faled	Failed to delete the post	貼文刪除失敗	贴文删除失败
del_suc	Delete Successfully	刪除成功	删除成功
delete_item	Delete	刪除	删除
delete_pet_confirm_tip	Are you sure to delete your pet files?	確認刪除寵物的檔案嗎？	确定删除宠物的档案吗？
distance_view_new_matches	More ctuies are coming soon...	距離查看新的匹配	距离查看新的匹配
dont_like_any_topic	No topics that i want to join	沒有想參與的話題？	没有想参与的话题？
download_and_compress_the_photos_please_wait	Download and compress the photos，please wait !	正在下載並壓縮所需要分享的圖片，請稍等！	正在下载并压缩所需要分享的图片，请稍等!
edit_group_head	Group icon can only edited by admin	只有管​​理員可以編輯群組頭像	只有管理员可以编辑群头像
edit_group_noti	Group bio can only edited by admin	只有管​​理員可以編輯群組簡介	只有管理员可以编辑群简介
edit_group_notice	Group notice can only edited by admin	只有管​​理員可以編輯群組公告	只有管理员可以编辑群公告
editing	Editing	編輯資料	编辑资料
empty1	Opps, nothing here	噢...什麼也沒有	额...什么也没有
empty_he_send_post	This person didn't post anything	Ta居然沒發過任何帖文	Ta居然没发过任何帖文
empty_post_comment	Be the first person to comment	快成為第一個評論的人吧	快成为第一个评论的人吧
empty_search	Oh, couldn't find anything	咦...什麼也找不到	咦...什么也搜不到耶
empty_send_post	Don't send any post…	居然沒發過帖文…	居然没发过帖文…
end_event	End Activity	結束活動	结束活动
end_time	End time	結束時間	结束时间
end_time_	End time：	結束時間：	结束时间：
enter_city	Click select area	點擊選擇地區	点击选择地区
enter_event_group	Choose activity group chat	點擊選擇活動群聊	点击选择活动群聊
enter_event_name	Please enter the activity name...	請輸入活動名稱...	请输入活动名称...
enter_event_readme	Please enter attention of activity	請輸入活動需要注意事項（100字以內）	请输入活动需要注意事项（100字以内）
enter_event_time	Click set time	點擊設置時間	点击设置时间
enter_group	Enter group	進入群聊	进入群聊
enter_location	Please enter a detailed address.	請輸入詳細地址	请输入详细地址
enter_matching	Start Matching	進入匹配	进入匹配
enter_max_join_user	Set max counts of join user	點擊設置最大參與人數	点击设置最大参与人数
enter_psd_twice	Please enter your password again	請再次輸入密碼	请再次输入密码
enter_psw	Please enter your password	請輸入密碼	请输入密码
erased_suc	Erased	清除成功！	清除成功！
etc	etc %1$s person	等%1$s人	等%1$s人
event	Event	活動	活动
event_city	Active areas	活動地區	活动地区
event_city_	Active areas：	活動地區：	活动地区：
event_details	Activity Info	活動詳情	活动详情
event_end	Activity End	活動結束	活动结束
event_i_create	My Create Activities	我發佈的活動	我发布的活动
event_i_join	My Join Activities	我參與的活動	我参与的活动
event_is_open	Open Activity	活動開放	活动开放
event_notice	Activity notice	活動須知	活动须知
exit_group_failed	Leave group unsusscefully	退出群組失敗！	退出群组失败！
exit_group_suc	Leave group susscefully	成功退出群組！	退出群组成功！
failed_to_creat_group	Failed to create group	群組創建失敗	群组创建失败
failed_to_get	Failed to get	接收失敗	获取失败
failed_to_invite_member	Failed to invite member	邀請成員失敗	邀请成员失败
failed_to_search	Failed to search	搜索失敗	搜索失败
feedback	Feedback	意見反饋	意见反馈
file_no_found	File not found	文件不存在	文件不存在
follow_on_success	Follow on success	關注成功	关注成功
following	Following	已追蹤	已关注
forget_pw_title	Find your account	尋找你的帳戶	找回您的帐号
forget_pw_title_2	Please enter your phone #	請輸入你的電話以搜尋帳戶	请输入您的手机号码以找回帐号
forward_to_item	forward to:	轉發給︰	转发给︰
friday	Friday	週五	周五
get_location	Get location	獲取位置	获取位置
get_post_failed	Unable to load the post	獲取貼文失敗	获取贴文失败
get_wechat_miniprogram_fail	Failed to get shared wechat miniProgram path, please try again!	獲取分享小程式路徑失敗，請重試！	获取分享小程序路径失败，请重试!
go_chat	Go chatting	馬上聊天	马上去聊聊
go_setting	Go setting	去設定	去设置
group_album_openall	View all	查看所有	查看全部
group_chat_album	Album	相簿	相册
group_chat_blank	What are you looking for?~ It's nothing here~	額...什麼也沒有哦	额…什么也没有
group_chat_clear_message	Clear History	清除消息記錄	清除消息记录
group_chat_delete_alert	Clear History?	是否確定清除本群所有歷史記錄？	是否确定清除本群所有历史记录？
group_chat_exit	Leave	退出群聊	退出群聊
group_chat_exit_alert	Are you sure to exit the current group?	是否確定退出當前群組	是否确定退出当前群组
group_chat_faceurl	Profile Photo	群頭像	群头像
group_chat_groupname_alert	Only Manager Can Change Group Name	只有管​​​​理員可以更改群名稱	只有管理员可以更改群名称
group_chat_iknow	I know	我知道	我知道了
group_chat_introduct	Group Information	群簡介	群简介
group_chat_introduct_placeholder	Enter The Group Introduce	請輸入群簡介	请输入群简介
group_chat_load_fail	Load fail... Can we try again?	加載失敗了，刷新再試試？	好尴尬…加载失败啦…
group_chat_member	Member	群成員	群成员
group_chat_message_recive	Mute Notifications	靜音通知	消息免打扰
group_chat_message_top	Top	消息置頂	消息置顶
group_chat_name	Group Name	群聊名稱	群聊名称
group_chat_notifi	Notice	群公告	群公告
group_chat_notifi_placeholder	Enter The Group Notice	請編輯群公告...	请编辑群公告...
group_chat_owner_edit	Edited	編輯於	编辑于
group_chat_people	People	人	人
group_chat_search_message	Search History	搜索消息記錄	搜索消息记录
group_error1	Must be open groupChat	必須關聯群聊	必须选择关联群聊
group_invite_by_owner	You are invited to join the group	您被邀請進入群組	您被邀请进入群聊
group_modify_owner	be new manage	成爲新管理員	成为新管理员
gtip_hello	Hello all	大家好	大家好
gtip_intro	The group's intro has changed	更換了群簡介	更换了群简介
gtip_name	The group name has changed	修改群名為	修改群名为
gtip_quit	Your have been removed from this group	已經退出群聊	已经退出群聊
gtip_url	The group profile photo has changed	更換了群頭像	更换了群头像
guide_content_first	給 你 炫 耀 愛 寵 生 活	給 你 炫 耀 愛 寵 生 活	给 你 炫 耀 爱 宠 生 活
guide_content_fourth	精 選 優 質 寵 物 用 品 等 你 入 手	精 選 優 質 寵 物 用 品 等 你 入 手	精 选 优 质 宠 物 用 品 等 你 入 手
guide_content_second	尋 找 志 趣 相 投 的 寵 友	尋 找 志 趣 相 投 的 寵 友	寻 找 志 趣 相 投 的 宠 友
guide_content_third	養 寵 須 知 一 應 俱 存	養 寵 須 知 一 應 俱 存	养 宠 须 知 一 应 俱 存
guide_title_first	寵 物 社 區	寵 物 社 區	宠 物 社 区
guide_title_fourth	喔 噢 商 城	喔 噢 商 城	喔 噢 商 城
guide_title_second	O  !  交 友	O  !  交 友	O ! 交 友
guide_title_start	開始體驗	開始體驗	开始体验
guide_title_third	寵 物 資 訊	寵 物 資 訊	宠 物 资 讯
hashtag_related_activities	Related activities	的相關活動	的相关活动
hide_post	Hide post	隱藏此貼	隐藏贴图
hk852	852 HKSAR	#ERROR!	+852 中国香港
holdtotalk	Hold to record	按住錄音	按住说话
home_creatpost_searchtopic	Related topics	相關話題	相关话题
home_message_groupnodata	You haven't join any group yet... \nCheck is there have anything you interest in it..	你竟然沒有加入過圈子\n快去加入幾個感興趣的\n圈子吧	你竟然没有加入过圈子\n快去加入几个感兴趣的\n圈子吧
home_message_livenodata	Nothing new yet..	你還沒有動態哦	你还没有动态哦
home_message_notinodata	Nothing new yet...	你還沒有通知哦	你还没有通知哦
home_message_readall	Read all	已讀所有	已读所有
home_message_remindernodata	You don't have any reminder yet, go to creat one?	你還沒有添加過提醒哦\n快去添加看看吧	你还没有添加过提醒哦\n快去添加看看吧
home_my_message	My Notification	我的消息	我的消息
hot_goods	Hot commodity	熱賣商品	热卖商品
hotcomment	Top Comments	熱門評論	热门评论
hour_before	h	小時前	小时前
hour_short	h	時	时
i_want_join	I want join	我要參與	我要参与
if_enter_group	Join the group chat?	是否進入聊天室？	是否进入群聊？
image_not_found	Image not found	找不到圖片	找不到图片
increase_exposuren_recommendation	Increase popularity \n recommendation	新增曝光\n推薦	增加曝光\n推荐
indicator	%1$s/%2$s	%1$s/%2$s	%1$s/%2$s
info	info	信息	信息
input_add_pet_character_tip	Briefly introduce the character of your family's pets. For example:the family has a small Bomei name called Huanhuan. It is a big warm man/big beauty. I am already 2 years old. I haven't talked about love yet. I want to find the other half of my personality. Looking forward to a blind date!	簡單介紹你家愛寵的性格，例如：家有一隻小博美名叫歡歡，是個大暖男/大美女哦，我已經2歲啦，還沒有拍過拖，想找尋性格乖巧的另一半，期待成功相親！	简单介绍你家爱宠的性格，例如：家有一只小博美名叫欢欢，是个大暖男/大美女哦，我已经2岁啦，还没有谈过恋爱，想找寻性格乖巧的另一半，期待相亲成功！
input_full_phone_number	please enter	請輸入完整手機號	请输入完整手机号
input_new_password	please enter	請輸入新密碼	请输入新密码
input_new_password_again	please enter	請再次輸入新密碼	请再次输入新密码
input_new_phone_number	please enter	請輸入新手機號	请输入新手机号
input_phone_number	please enter	請輸入手機號	请输入手机号
insert_error1	Up to 10 texts can be inserted	最多可插入10條文本	最多可插入10条文本
insert_error2	Up to 9 pictures can be inserted	最多可插入9張圖片	最多可插入9张图片
insert_error3	Up to 1 video can be inserted	最多可插入1個視頻	最多可插入1个视频
insert_error4	When inserting other content, you must ensure that the previous content is not empty	在插入其他內容時，必須保證前面的內容不為空	在插入其他内容时，必须保证前面的内容不为空
insert_image	Insert image	插入圖片	插入图片
insert_text	Insert text	插入文字	插入文字
insert_video	Insert video	插入視頻	插入视频
interested_user	Users you might be interested in	你可能感興趣的用戶	你可能感兴趣的用户
invite	Invite	邀請	邀请
involved_event	Involved Event	已參加的活動	已参加活动
join_group	Join group	加入群聊	加入群聊
join_hash_tag	Join Topic	參與話題	参与话题
joined	Joined	已參加	已参加
keep_alive_tips_default	Please turn on your notification for receive messages.	實時接受消息提醒，建議前往您手機的權限設置界面中打開自啓動和關聯啓動，否則應用關閉後是無法收到消息的	实时接收消息提醒，建议前往您手机的权限设置界面中打开自启动和关联启动，否则应用关闭后是无法收到消息的
keep_alive_tips_huawei	Please turn on your notification for receive messages.	實時接受消息提醒，建議前往【手機管家-應用啓動管理】中開啓喔噢的自啓動和關聯啓動	实时接收消息提醒，建议前往【手机管家-应用启动管理】中开启喔噢的自启动和关联启动
keep_alive_tips_letv	Please turn on your notification for receive messages.	實時接受消息提醒，建議前往【管家-更多-自啓動管理】中開啓喔噢的自啓動和關聯啓動	实时接收消息提醒，建议前往【管家-更多-自启动管理】中开启喔噢的自启动和关联启动
keep_alive_tips_samsung	Please turn on your notification for receive messages.	實時接受消息提醒，建議前往【智能管理器-自動運行應用程序】中開啓喔噢的自啓動和關聯啓動	实时接收消息提醒，建议前往【智能管理器-自动运行应用程序】中开启喔噢的自启动和关联启动
keep_alive_tips_vivo	Please turn on your notification for receive messages.	實時接受消息提醒，建議前往【i管家-軟件管理-自啓動管理】中開啓喔噢的自啓動和關聯啓動，或將喔噢添加到加速白名單中	实时接收消息提醒，建议前往【i管家-软件管理-自启动管理】中开启喔噢的自启动和关联启动，或将喔噢添加到加速白名单中
keyword_not_found	Keyword not found	找不到關鍵字	找不到关键字
large_pic	Large pic	長圖	长图
last_insecticidal_time	Last Deworm Time：	上次驅蟲時間：	上次驱虫时间：
last_vaccination_time	Last Injection Time：	上次疫苗時間：	上次疫苗时间：
like_comment_num	%1$s likes·%2$s comments	%1$s人讚好·%2$s條留言	%1$s人点赞·%2$s条评论
like_comment_view_num	%1$s likes·%2$s comments·%3$s views	%1$s人讚好·%2$s條留言·%3$s次瀏覽	%1$s人点赞·%2$s条评论·%3$s次浏览
like_people	People who liked	讚好的人	赞好的人
limit_people_	People counts limitation	人數限制：	人数限制：
link_group_	Relevant topics	關聯群聊	关联群聊
link_topic	Relevant topics	關聯話題	关联话题
load_video_under_wifi	Load video only under wifi	僅在WIFI下加載視頻	仅在WIFI下加载视频
loading	Loading...	加載中...	加载中...
loading_failed	Loading failed...	好尷尬...加載失敗啦...	好尴尬...加载失败啦...
location_changed	Your city is %1$s do you want to change?	檢測到您的地址更改為%1$s，是否切換？	检测到您的地址更改为%1$s，是否切换？
location_create	Create a new location	創建新的位置	创建新的位置
location_create_fail	Can't create new location when you are without GPS Permission	沒有GPS權限時無法創建新位置	没有GPS权限时无法创建新位置
location_error1	Get location failed,if enabled permission Location,please try open your GPS	獲取位置失敗，如果已經打開了位置權限，請嘗試打開GPS	获取位置失败，如果已经打开了位置权限，请尝试打开GPS
location_hide	Do not display location	不顯示位置	不显示位置
location_not_found	Didn't find your location?	沒找到你的位置?	没找到你的位置?
log_out_failed	Failed to log out	退出失敗	退出失败
logged_out	Logged out	成功登出	成功登出
login_acct	Email	電郵	邮箱
login_acct_phone	Phone	電話	电话
login_button	Login	登錄	登录
login_by_email	Login by E-mail	電郵登錄	邮箱登录
login_by_phone_number	Login by mobile #	電話號碼登錄	手机号码登录
login_error_invalid_pw	Password must be at least 8 digits	密碼最少 8 個位	密码最少 8 位
login_error_wrong_email_pw	E-mail or Password Incorrect	郵箱或密碼錯誤	邮箱或密码错误
login_error_wrong_phone_pw	Phone Number or Password Incorrect	電話號碼或密碼錯誤	手机号码或密码错误
login_failed	Failed to log in	登錄失敗	登录失败
login_forget_pw_1	Forget	忘記密碼	忘记密码
login_input_pw	Password	密碼	密码
login_method_other	Other login	其他方式登錄	其他方式登录
login_register_1	 	未有 Owoh 帳戶？	未注册Owoh 帐号？
login_register_2	Register now	立即註冊	马上注册
login_success_welcome_1	Welcome back to	歡迎來到OwOh	欢迎来到OwOh
login_success_welcome_2	Owoh world!	寵物世界！	宠物世界！
mail_friend_count	%1$d friends	%1$d比特好友	%1$d位好友
mail_list_friends	Mail list friends	通訊錄好友	通讯录好友
make_sticker	Create Sticker	製作貼圖	制作贴图
match_sure	Confirm	確認	确认
matched_price	Price：	價格：	价格：
matching_chat_empty	No chat right now. \nTry to start a coversation first, buddy	目前還沒有人聊過天\n找感興趣的人聊聊吧	目前还没有人聊过天\n找感兴趣的人聊聊吧
matching_create_chat	Start Chat	快去撩牠	快去撩Ta
matching_create_chat_with_comment2	Alreay said hi	已幫你打招呼	已幫你打招呼
matching_filter_blood_cert	Studbook	血緣證書	血缘证书
matching_filter_deworming	Deworming	是否驅蟲	是否驱虫
matching_filter_health_cert	Health	健康證書	健康证书
matching_filter_vaccine	Vaccination	接種疫苗	接种疫苗
matching_im_delete	Are you sure you want to delete this conversation?	確定刪除和該寵物的聊天記錄	确定删除和该宠物的聊天记录
matching_info	Matching Info	配對資訊	配对信息
matching_list_empty	No new friends	暫無新朋友	暂无新朋友
matching_message	Messages	消息	消息
matching_message_empty	No new message	暫無新消息	暂无新消息
matching_new	New friend	新的朋友	新的朋友
matching_off	Matching/Off	配對/關	配对/关
matching_on	Matching/On	配對/開	配对/开
matching_search_distance	Distance to current location	距離當前位置	距离当前位置
matching_search_type_city	City	城市	城市
matching_search_type_distance	Distance	距離	距离
matching_share_now	Share now	立即分享	立即分享
messagetooshort	Message too short	錄音時間太短	说话时间太短
min_before	min	分鐘前	分钟前
minute_short	m	分	分
modifi_failed	Revise failure	修改失敗	修改失败
modifi_suc	Revised	修改成功	修改成功
monday	Monday	週一	周一
month_short	M	月	月
months_before	mon	月前	月前
more_camera_item	Camera	相機	相机
more_image_item	Image	圖片	图片
more_than_once	More than once	一次以上	一次以上
more_video_item	Video	影片	视频
multi_item	Select...	多選	多选
must_enter	* Must fill in	* 必須填寫	* 必须填写
my_likes	My likes	我的點贊	我的点赞
my_pets	My Pets	我的寵物	我的宠物
my_posts	My posts	我的日誌	我的日志
name	Name：	名稱：	名称：
nearby	Nearby	附近	附近
nearby_user	Nearby Friends	附近的寵友	附近的宠友
net_error3	No network connection, please turn on the network and try again	無網絡連接，請開啟網絡後重試	无网络连接，请开启网络后重试
new_chat	New Group Chat	新建群組	新建群聊
new_phone_number	New Phone Number	新手機號	新手机号
next	<![CDATA[>]]>	<![CDATA[>]]>	<![CDATA[>]]>
next_select_count	Next	下一步(%1$d)	下一步(%1$d)
no_event_this_city	The area have no activity	该地區暫無活動	该地区暂无活动
no_hash_tag_u_want	No suggested topic found?	沒有想參與的話題？	没有想参与的话题？
no_limit_people	Unlimited	不限人數	不限人数
no_limit_time	Unlimited	不限時間	不限时间
no_need_to_pass	(Unneccessary)	（非必傳）	(非必传)
no_net	No data	沒有網絡	没有网络
no_pet_add_pet	Please add pets first	沒有寵物請先添加寵物	没有宠物请先添加宠物
not_bind	Unbound	未綁定	未绑定
notif	Noticefication	提示	提示
official	Official	官方	官方
old_phone_number	Old Phone Number	舊手機號	旧手机号
once	Once	一次	一次
one_key_concern	One key concern	一鍵關注	一键关注
one_month	1 month	1個月	1个月
only_image	Only accept image files	只接受圖片檔案	只接受图片档案
open_failed	Failed to open	展開失敗	展开失败
open_matching	Start Matching	開啟配對	开启配对
other	Other	其他	其他
other_event	Other Event	其他活動	其他活动
other_likes	‘s likes	的點贊	的点赞
other_pets	Ta's Pets	Ta的寵物	Ta的宠物
other_posts	s posts	的日誌	的日志
owoh	OwOh	喔噢	喔噢
owoh_detail_showmore	Show More	展開查看更多	展开查看更多
owoh_group_entergroup	Join Group	加入群聊	加入群聊
owoh_group_image_count	Related Image Total	相關圖片共	相关图片共
owoh_group_mumber	Join	人正在參與	人正在参与
owoh_home_to_login	Login Now	馬上登錄	马上登录
owoh_input_revert	Reply:	回覆:	回复:
owoh_like_followed	Followed	互相關注	互相关注
owoh_login_remind_2	Hey you still haven't logged in yet	朋友, 你還沒有登錄呢	朋友, 你还没有登录呢
owoh_remider_nosel	None	無	无
owoh_samecity_avtivity_end	Event already end	活動已經結束	活动已经结束
owoh_search_circle	Hashtag	話題	话题
owoh_search_result_count	All %	共%項	共%项
owoh_search_user	User	用戶	用户
owohchat_group	Group Chat	發起群聊	发起群聊
owohchat_group_manager_info	Group Info	群組資訊	群组信息
owohchat_group_member_add_title	Add Member	新增群成員	新增群成员
owohchat_group_member_del_title	Delete Member	刪除群成員	删除群成员
owohhelper_item	OWOH Helper	OWOH 小幫手	OwOh 小帮手
participating_users	Participating users	參與用戶	参与用户
pet_like_rate	%1%sfriends like it	%1$s的朋友喜歡	%1$s的朋友喜欢
pet_match_chat_name	Your pet has been paired with %1$s	你的寵物已與%1$s配對	你的宠物已与%1$s配对
pet_match_click_img_for_detail	Click on the image for details	點擊圖片查看詳情	点击图片查看详情
pet_match_join_my_new_matchs	Join my new match	加入我的新配對	加入我的新配对
pet_matching	Pet Matching	寵物配對	宠物配对
pet_matching_type	What kind of pets are paired?	我的寵物種類是？	我的宠物种类是？
pet_pregnancy_history	Pregnancy History：	孕史：	孕史：
pet_profile_add	Add Pet's Info	新增寵物資料	新增宠物资料
pet_profile_age	Aged	歲	岁
pet_profile_blank	Blank profile	主人忘填喔	主人忘填咯
pet_profile_china	China	國內	国内
pet_profile_edit	Edit Pet's Info	編輯寵物資料	编辑宠物资料
pet_profile_edit_birth_control	Spayed or Neutered：	絕育：	绝育：
pet_profile_edit_disinsection	Deworm Time：	杜蟲時間：	除虫时间：
pet_profile_edit_set_type	Choose Breed	點擊設置種類	点击设置种类
pet_profile_edit_vaccine	Injection Time：	疫苗時間：	疫苗时间：
pet_profile_international	International	國際	国外
pet_profile_type_by_image1	Your pet is	你的寵物是	你的宠物是
pet_profile_type_by_image2	,am I correct?	，是否正確？	，是否正确？
pet_profile_variety	Breed：	品種：	品种：
pet_profile_weight	Weight(kg)：	體重(kg)：	体重(kg)：
pet_species	Pet species	寵物品種	宠物品种
pet_species_	Pet species：	寵物品種：	宠物品种：
phone_code	Verification code	驗證碼	验证码
phone_not_be_used	This phone number hasn't been used	該手機號碼還未註冊過，點擊 <u><b>立即註冊</b></u>	该手机号码还未注册过，点击 <u><b>立即注册</b></u>
please_fill_code	Please Fill Code	請填寫驗證碼	请填写验证码
please_input_the_same_phone	please input the same phone number	請輸入與綁定手機號一致的號碼	请输入与绑定手机号一致的号码
please_select_personal_clothes	Choose clothes for yourself	請選擇用戶衣服	请选择用户衣服
please_select_pet_type	Please choose which kinds of pet you have	請先選擇寵物種類	请先选择宠物种类
please_upload_pet_photo	Please upload at least one picture of your baby	請至少上傳一張你家寶貝的照片	请至少上传一张你家宝贝的照片
post	Post	帖文	帖子
post_with_pets	Post with pets	以寵物發帖	以宠物发帖
prev	<![CDATA[<]]>	<![CDATA[<]]>	<![CDATA[<]]>
preview_event	Preview activity	預覽活動	预览活动
privacy_policy	Privacy Policy	隱私政策	隐私政策
profile_cancel_follow	Unfollow	取消追蹤	取消关注
profile_go_chatnow	Chat Now	馬上聊天	马上聊天
profile_go_creatpost	Creat Post Now	馬上發佈	马上发布
